Sample,Doxorubicin,Navitoclax,Doxorubicin:navitoclax
CCLE.697,NA,NA,NA
CCLE.ALLSIL,NA,NA,NA
CCLE.AML193,NA,NA,NA
CCLE.BCP1,NA,NA,NA
CCLE.BDCM,NA,NA,NA
CCLE.BL41,NA,NA,NA
CCLE.BL70,NA,NA,NA
CCLE.BV173,NA,NA,NA
CCLE.CA46,NA,NA,NA
CCLE.CI1,NA,NA,NA
CCLE.CMK,NA,NA,NA
CCLE.CMLT1,NA,NA,NA
CCLE.DAUDI,NA,NA,NA
CCLE.DEL,NA,NA,NA
CCLE.DND41,NA,NA,NA
CCLE.EB1,NA,NA,NA
CCLE.EHEB,NA,NA,NA
CCLE.EM2,NA,NA,NA
CCLE.EOL1,NA,NA,NA
CCLE.F36P,NA,NA,NA
CCLE.GA10,NA,NA,NA
CCLE.GDM1,NA,NA,NA
CCLE.HDLM2,NA,NA,NA
CCLE.HDMYZ,NA,NA,NA
CCLE.HEL,NA,NA,NA
CCLE.HEL9217,NA,NA,NA
CCLE.HH,NA,NA,NA
CCLE.HL60,NA,NA,NA
CCLE.HPBALL,NA,NA,NA
CCLE.HS611T,NA,NA,NA
CCLE.HS616T,NA,NA,NA
CCLE.HS751T,NA,NA,NA
CCLE.HT,NA,NA,NA
CCLE.HUNS1,NA,NA,NA
CCLE.HUT102,NA,NA,NA
CCLE.HUT78,NA,NA,NA
CCLE.JK1,NA,NA,NA
CCLE.JURKAT,NA,NA,NA
CCLE.JURLMK1,NA,NA,NA
CCLE.JVM2,NA,NA,NA
CCLE.JVM3,NA,NA,NA
CCLE.K562,NA,NA,NA
CCLE.KARPAS299,NA,NA,NA
CCLE.KASUMI1,NA,NA,NA
CCLE.KASUMI2,NA,NA,NA
CCLE.KASUMI6,NA,NA,NA
CCLE.KCL22,NA,NA,NA
CCLE.KE37,NA,NA,NA
CCLE.KE97,NA,NA,NA
CCLE.KG1,NA,NA,NA
CCLE.KHM1B,NA,NA,NA
CCLE.KIJK,NA,NA,NA
CCLE.KMH2,NA,NA,NA
CCLE.KMM1,NA,NA,NA
CCLE.KMS20,NA,NA,NA
CCLE.KMS21BM,NA,NA,NA
CCLE.KMS26,NA,NA,NA
CCLE.KMS27,NA,NA,NA
CCLE.KMS28BM,NA,NA,NA
CCLE.KMS34,NA,NA,NA
CCLE.KO52,NA,NA,NA
CCLE.KOPN8,NA,NA,NA
CCLE.KU812,NA,NA,NA
CCLE.KYO1,NA,NA,NA
CCLE.L1236,NA,NA,NA
CCLE.L428,NA,NA,NA
CCLE.L540,NA,NA,NA
CCLE.LAMA84,NA,NA,NA
CCLE.LOUCY,NA,NA,NA
CCLE.M07E,NA,NA,NA
CCLE.ME1,NA,NA,NA
CCLE.MEC1,NA,NA,NA
CCLE.MEG01,NA,NA,NA
CCLE.MHHCALL2,NA,NA,NA
CCLE.MHHCALL3,NA,NA,NA
CCLE.MHHCALL4,NA,NA,NA
CCLE.MINO,NA,NA,NA
CCLE.MJ,NA,NA,NA
CCLE.MM1S,NA,NA,NA
CCLE.MOLM13,NA,NA,NA
CCLE.MOLM16,NA,NA,NA
CCLE.MOLM6,NA,NA,NA
CCLE.MOLP2,NA,NA,NA
CCLE.MOLT13,NA,NA,NA
CCLE.MOLT16,NA,NA,NA
CCLE.MOLT3,NA,NA,NA
CCLE.MONOMAC1,NA,NA,NA
CCLE.MONOMAC6,NA,NA,NA
CCLE.MUTZ3,NA,NA,NA
CCLE.MUTZ5,NA,NA,NA
CCLE.MV411,NA,NA,NA
CCLE.NALM1,NA,NA,NA
CCLE.NALM19,NA,NA,NA
CCLE.NALM6,NA,NA,NA
CCLE.NAMALWA,NA,NA,NA
CCLE.NB4,NA,NA,NA
CCLE.NCO2,NA,NA,NA
CCLE.NOMO1,NA,NA,NA
CCLE.OCIAML2,NA,NA,NA
CCLE.OCIAML3,NA,NA,NA
CCLE.OCIAML5,NA,NA,NA
CCLE.OCIM1,NA,NA,NA
CCLE.P12ICHIKAWA,NA,NA,NA
CCLE.P31FUJ,NA,NA,NA
CCLE.P3HR1,NA,NA,NA
CCLE.PEER,NA,NA,NA
CCLE.PF382,NA,NA,NA
CCLE.PL21,NA,NA,NA
CCLE.RAJI,NA,NA,NA
CCLE.RCHACV,NA,NA,NA
CCLE.REC1,NA,NA,NA
CCLE.REH,NA,NA,NA
CCLE.RI1,NA,NA,NA
CCLE.RPMI8402,NA,NA,NA
CCLE.RS411,NA,NA,NA
CCLE.SEM,NA,NA,NA
CCLE.SET2,NA,NA,NA
CCLE.SIGM5,NA,NA,NA
CCLE.SKM1,NA,NA,NA
CCLE.SR786,NA,NA,NA
CCLE.ST486,NA,NA,NA
CCLE.SUDHL1,NA,NA,NA
CCLE.SUPB15,NA,NA,NA
CCLE.SUPM2,NA,NA,NA
CCLE.SUPT1,NA,NA,NA
CCLE.SUPT11,NA,NA,NA
CCLE.TALL1,NA,NA,NA
CCLE.TF1,NA,NA,NA
CCLE.THP1,NA,NA,NA
CCLE.TO175T,NA,NA,NA
CCLE.U266B1,NA,NA,NA
CTRP.697,2,NA,2
CTRP.ALL-SIL,1,NA,1
CTRP.AML-193,1,NA,1
CTRP.BCP-1,NA,NA,NA
CTRP.BDCM,NA,NA,1
CTRP.BL-41,1,NA,NA
CTRP.BL-70,1,NA,NA
CTRP.BV-173,2,NA,1
CTRP.CA46,1,NA,1
CTRP.CI-1,1,NA,1
CTRP.CMK,1,NA,1
CTRP.CML-T1,1,NA,1
CTRP.DEL,1,NA,1
CTRP.DND-41,1,NA,1
CTRP.Daudi,2,NA,1
CTRP.EB1,1,NA,1
CTRP.EHEB,1,NA,1
CTRP.EM-2,1,NA,2
CTRP.F-36P,1,NA,1
CTRP.GA-10,1,NA,1
CTRP.GDM-1,1,NA,1
CTRP.HD-MY-Z,1,NA,1
CTRP.HDLM-2,1,NA,1
CTRP.HEL,1,NA,1
CTRP.HEL-92-1-7,1,NA,1
CTRP.HH,1,NA,1
CTRP.HL-60,1,NA,1
CTRP.HPB-ALL,1,NA,1
CTRP.HT,1,NA,1
CTRP.Hs-611-T,1,NA,1
CTRP.HuNS1,1,NA,1
CTRP.HuT-78,1,NA,1
CTRP.JK-1,2,NA,1
CTRP.JURKAT,1,NA,1
CTRP.JURL-MK1,1,NA,1
CTRP.JVM-2,1,NA,1
CTRP.JVM-3,1,NA,2
CTRP.K-562,1,NA,1
CTRP.KARPAS-299,1,NA,1
CTRP.KASUMI-1,1,NA,1
CTRP.KASUMI-2,1,NA,1
CTRP.KCL-22,1,NA,1
CTRP.KE-37,1,NA,2
CTRP.KE-97,1,NA,1
CTRP.KHM-1B,1,NA,1
CTRP.KM-H2,1,NA,1
CTRP.KMM-1,0,NA,0
CTRP.KMS-20,1,NA,1
CTRP.KMS-21BM,1,NA,1
CTRP.KMS-26,1,NA,1
CTRP.KMS-27,1,NA,1
CTRP.KMS-28BM,1,NA,1
CTRP.KMS-34,1,NA,1
CTRP.KU812,1,NA,1
CTRP.KYO-1,1,NA,1
CTRP.Ki-JK,1,NA,1
CTRP.L-1236,1,NA,NA
CTRP.L-428,1,NA,1
CTRP.L-540,1,NA,1
CTRP.LAMA-84,1,NA,1
CTRP.M-07e,1,NA,1
CTRP.ME-1,1,NA,1
CTRP.MEC-1,1,NA,1
CTRP.MHH-CALL-3,1,NA,1
CTRP.MHH-CALL-4,2,NA,1
CTRP.MJ,1,NA,1
CTRP.MM1-S,1,NA,NA
CTRP.MOLM-13,1,NA,2
CTRP.MOLM-16,1,NA,1
CTRP.MOLM-6,1,NA,1
CTRP.MOLP-2,1,NA,1
CTRP.MOLT-13,1,NA,1
CTRP.MOLT-16,2,NA,2
CTRP.MONO-MAC-1,1,NA,1
CTRP.MONO-MAC-6,1,NA,NA
CTRP.MV-4-11,2,NA,2
CTRP.Mino,1,NA,1
CTRP.NALM-6,1,NA,1
CTRP.NAMALWA,1,NA,1
CTRP.NB4,1,NA,1
CTRP.NCO2,1,NA,1
CTRP.NOMO-1,1,NA,1
CTRP.OCI-AML2,1,NA,1
CTRP.OCI-AML3,1,NA,1
CTRP.OCI-AML5,1,NA,1
CTRP.OCI-M1,1,NA,1
CTRP.P12-ICHIKAWA,1,NA,1
CTRP.P31-FUJ,1,NA,1
CTRP.P3HR-1,1,NA,0
CTRP.PEER,1,NA,1
CTRP.PF-382,1,NA,1
CTRP.PL-21,1,NA,1
CTRP.RCH-ACV,2,NA,1
CTRP.REC-1,0,NA,0
CTRP.REH,2,NA,1
CTRP.RI-1,1,NA,1
CTRP.RPMI-8402,1,NA,1
CTRP.RS4-11,1,NA,1
CTRP.Raji,1,NA,1
CTRP.SEM,1,NA,1
CTRP.SIG-M5,1,NA,1
CTRP.SKM-1,1,NA,1
CTRP.SR-786,1,NA,1
CTRP.ST486,1,NA,1
CTRP.SU-DHL-1,1,NA,1
CTRP.SUP-B15,2,NA,2
CTRP.SUP-M2,1,NA,NA
CTRP.SUP-T1,1,NA,1
CTRP.SUP-T11,1,NA,1
CTRP.Set-2,1,NA,1
CTRP.TALL-1,1,NA,1
CTRP.TF-1,1,NA,NA
CTRP.THP-1,2,NA,1
CTRP.U266B1,1,NA,1
GDC.LE_LAML.TCGA_AB_2805_03801.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2806_04127.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2808_08765.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2810_09745.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2811_06923.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2812_10899.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2813_05006.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2814_09339.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2815_04378.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2817_05937.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2818_04071.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2819_06856.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2820_10847.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2821_09777.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2822_05674.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2823_04796.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2825_04274.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2826_07686.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2828_06613.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2830_10589.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2834_03518.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2835_05332.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2836_10925.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2839_07582.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2840_06773.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2841_05053.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2842_09009.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2843_08792.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2844_10812.b,NA,NA,NA
